in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1560
in2 | arrSize: 75000 | type: Float -> maxInput: 1363
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1462
in2 | arrSize: 75000 | type: Float -> maxInput: 1357
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1908
in2 | arrSize: 75000 | type: Float -> maxInput: 1554
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1560
in2 | arrSize: 75000 | type: Float -> maxInput: 1756
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1813
in2 | arrSize: 75000 | type: Float -> maxInput: 1546
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1963
in2 | arrSize: 75000 | type: Float -> maxInput: 1450
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1280
in2 | arrSize: 100000 | type: Float -> maxInput: 1276
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1282
in2 | arrSize: 100000 | type: Float -> maxInput: 1276
in0 | arrSize: 100000 | type: int -> maxInput: 50000
in1 | arrSize: 100000 | type: Float -> maxInput: 1278
in2 | arrSize: 100000 | type: Float -> maxInput: 1279
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1280
in2 | arrSize: 100000 | type: Float -> maxInput: 1280
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1279
in2 | arrSize: 100000 | type: Float -> maxInput: 1279
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1280
in2 | arrSize: 100000 | type: Float -> maxInput: 1270
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 779
in2 | arrSize: 150000 | type: Float -> maxInput: 583
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 778
in2 | arrSize: 150000 | type: Float -> maxInput: 779
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 779
in2 | arrSize: 150000 | type: Float -> maxInput: 681
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 976
in2 | arrSize: 150000 | type: Float -> maxInput: 681
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 779
in2 | arrSize: 150000 | type: Float -> maxInput: 730
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Float -> maxInput: 778
in2 | arrSize: 150000 | type: Float -> maxInput: 751
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1535
in2 | arrSize: 75000 | type: Short -> maxInput: 1554
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1559
in2 | arrSize: 75000 | type: Short -> maxInput: 1527
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1975
in2 | arrSize: 75000 | type: Short -> maxInput: 1551
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1843
in2 | arrSize: 75000 | type: Short -> maxInput: 1557
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1798
in2 | arrSize: 75000 | type: Short -> maxInput: 1557
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Short -> maxInput: 1741
in2 | arrSize: 75000 | type: Short -> maxInput: 1756
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1291
in2 | arrSize: 100000 | type: Short -> maxInput: 1280
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1280
in2 | arrSize: 100000 | type: Short -> maxInput: 1276
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1280
in2 | arrSize: 100000 | type: Short -> maxInput: 1265
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1169
in2 | arrSize: 100000 | type: Short -> maxInput: 1279
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1277
in2 | arrSize: 100000 | type: Short -> maxInput: 1276
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Short -> maxInput: 1280
in2 | arrSize: 100000 | type: Short -> maxInput: 1279
in0 | arrSize: 150000 | type: int -> maxInput: 50000
in1 | arrSize: 150000 | type: Short -> maxInput: 779
